City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Quang Ngai,39,VN,1556543513,68,15.12,108.8,82.05,1.7
276,Papara,40,BR,1556542800,62,-3.98,-38.73,86.0,9.17
277,Esperance,20,TT,1556542887,88,10.24,-61.45,84.99,5.82
278,Ixtapa,75,MX,1556543409,94,20.71,-105.21,72.0,4.5
279,Gumdag,0,TM,1556543592,23,39.2,54.59,72.87,16.22
280,Buchanan,75,LR,1556539200,79,5.88,-10.05,87.8,3.36
281,Hutchinson,90,US,1556543563,100,38.06,-97.93,59.0,21.92
282,Nioro,27,GM,1556543592,10,13.79,-15.05,108.15,15.59
283,Chulumani,35,BO,1556543592,70,-16.41,-67.53,42.09,4.29
284,Akdepe,0,TM,1556541000,15,42.05,59.39,80.6,13.87
285,Xianyang,0,CN,1556539200,77,34.31,108.72,66.2,4.47
286,Sestri Levante,40,IT,1556543581,36,44.27,9.41,64.0,11.41
287,Ippy,100,CF,1556543593,37,6.26,21.2,93.03,3.02
288,Marsabit,100,KE,1556543593,42,2.34,37.99,93.57,12.46
289,Mian Channun,0,PK,1556543593,7,30.44,72.35,107.25,8.01
290,Cabedelo,40,BR,1556539200,79,-6.97,-34.84,84.2,6.93
291,Kiunga,87,PG,1556543593,93,-6.12,141.3,78.09,2.3
292,Mount Isa,100,AU,1556541000,53,-20.73,139.49,75.2,5.82
293,Rorvik,75,NO,1556543402,100,64.86,11.24,60.8,12.75
294,Bambanglipuro,48,ID,1556543594,78,-7.95,110.28,83.49,10.6
295,Ierapetra,0,GR,1556543466,53,35.01,25.74,73.99,6.93
296,Lasa,20,CY,1556542869,64,34.92,32.53,78.8,9.17
297,Istanbul,0,TR,1556542836,41,41.01,28.95,81.0,5.82
298,Fayaoue,0,NC,1556543314,76,-20.65,166.53,75.39,22.44
299,Villa Rica,100,PE,1556543594,45,-10.74,-75.27,63.51,3.0
300,Mogadishu,75,SO,1556539200,62,2.04,45.34,89.6,9.17
301,College,1,US,1556543459,55,64.86,-147.8,37.99,3.44
302,Pevek,84,RU,1556543595,94,69.7,170.27,23.01,9.8
303,Chauk,56,MM,1556543595,19,20.89,94.82,102.39,11.5
304,Biltine,0,TD,1556543595,7,14.53,20.93,105.45,1.99
305,Goure,72,NE,1556543595,4,13.98,10.27,104.37,10.45
306,Sao Paulo de Olivenca,92,BR,1556543595,95,-3.38,-68.87,76.29,0.85
307,Riyadh,0,SA,1556539200,18,24.63,46.72,89.6,11.41
308,Edd,0,ER,1556543595,21,13.93,41.69,105.27,16.82
309,Biggar,80,GB,1556543566,67,55.62,-3.52,60.8,9.17
310,Viedma,0,AR,1556543299,39,-40.81,-62.99,58.47,21.16
311,Aklavik,40,CA,1556539200,78,68.22,-135.01,17.6,8.05
312,Topolobampo,73,MX,1556542576,96,25.6,-109.05,66.0,4.0
313,Maragogi,100,BR,1556543305,73,-9.01,-35.22,83.85,2.48
314,Hay River,75,CA,1556539200,79,60.82,-115.79,24.8,6.93
315,Port Hardy,20,CA,1556539200,81,50.7,-127.42,32.0,2.24
316,Sibolga,59,ID,1556543596,68,1.74,98.78,85.11,1.3
317,Alexandria,90,US,1556543523,94,31.31,-92.44,68.0,5.5
318,Vigrestad,0,NO,1556543419,58,58.57,5.7,63.0,11.41
319,Moindou,0,NC,1556541000,82,-21.69,165.68,64.4,17.65
320,Aksu,40,KZ,1556541000,23,52.04,76.93,73.4,17.9
321,Pernik,20,BG,1556543469,40,42.61,23.03,73.0,3.36
322,Batsfjord,40,NO,1556540400,59,70.63,29.72,37.4,3.36
323,Sao Jose da Coroa Grande,100,BR,1556543597,73,-8.9,-35.15,83.85,2.48
